dequebuilder pushed:CLASS|$CLASS
dequebuilder pushed:PUT|<var>
dequebuilder pushed:(|$LP
dequebuilder pushed:Z|<var>
dequebuilder pushed:)|$RP
dequebuilder pushed:;|<semi>
dequebuilder pushed:}|$RB
dequebuilder pushed:}|$RB
Popping Class:$CLASS
Popping Class2:relational
Found CONST/VAR line:$CONST <var> <assign> <integer> <comma> <var> <assign> <integer> <semi> 
Deleting from:$CONST to <semi>
Full line to erase:CONST Y = 1 , Z = 0 ; 
Found CONST/VAR line:$VAR <var> <comma> <var> <semi> 
Deleting from:$VAR to <semi>
Full line to erase:VAR A , B ; 
Got front & popped:{
Got front & popped:GET
Got front & popped:IF
Entering generateQuads, popVec contains:B,>,A,
Finished generateQuads, prevOperator set:(
Got front & popped:}
Got front & popped:}
Entering generateQuads, popVec contains:B,>=,A,
Finished generateQuads, prevOperator set:(
Got front & popped:}
Got front & popped:}
Entering generateQuads, popVec contains:B,==,A,
Finished generateQuads, prevOperator set:(
Got front & popped:}
Got front & popped:}
Entering generateQuads, popVec contains:B,!=,A,
Finished generateQuads, prevOperator set:(
Got front & popped:}
Got front & popped:}
Entering generateQuads, popVec contains:B,<,A,
Finished generateQuads, prevOperator set:(
Got front & popped:}
Got front & popped:}
Entering generateQuads, popVec contains:B,<=,A,
Finished generateQuads, prevOperator set:(
Got front & popped:}
Got front & popped:}
